
./wesbench-instructional Setup parameters
Triangle area	128.000 (pixels^2)
Test duration	5.000000(s)
Screen W/H	(1024,1024)
Triangle limit	1073741824
VertexBuf limit	1073741824
Texture size	(0 x 0)
Lighting is 	disabled
ColorMaterial 	disabled
Triangle type	0 
Retained mode	disabled
Area	Mv/sec	MF/sec	MT/sec	Vs/buckt	Is/buckt
1.0	168.26	56.09	56.09	786264	0
2.0	166.02	110.68	55.34	393216	0
4.0	142.27	189.70	47.42	196566	0
8.0	127.15	339.06	42.38	98304	0
16.0	100.30	534.94	33.43	48600	0
32.0	75.22	802.37	25.07	24576	0
64.0	57.53	1227.21	19.18	12150	0
128.0	36.17	1543.14	12.06	6144	0
256.0	24.50	2090.76	8.17	2904	0
512.0	14.56	2485.12	4.85	1536	0
1024.0	8.34	2845.13	2.78	726	0
2048.0	3.87	2639.48	1.29	384	0
4096.0	2.15	2934.42	0.72	150	0
8192.0	1.31	3578.79	0.44	96	0
16384.0	0.69	3770.29	0.23	24	0
32768.0	0.41	4429.19	0.14	24	0
65536.0	0.19	4170.82	0.06	6	0
131072.0	0.11	4657.36	0.04	6	0
