
./wesbench-instructional Setup parameters
Triangle area	128.000 (pixels^2)
Test duration	5.000000(s)
Screen W/H	(1024,1024)
Triangle limit	1073741824
VertexBuf limit	1073741824
Texture size	(0 x 0)
Lighting is 	disabled
ColorMaterial 	disabled
Triangle type	0 
Retained mode	disabled
Area	Mv/sec	MF/sec	MT/sec	Vs/buckt	Is/buckt
1.0	177.38	59.13	59.13	786264	0
2.0	165.78	110.52	55.26	393216	0
4.0	155.60	207.47	51.87	196566	0
8.0	139.83	372.87	46.61	98304	0
16.0	100.36	535.25	33.45	48600	0
32.0	75.26	802.79	25.09	24576	0
64.0	57.48	1226.17	19.16	12150	0
128.0	36.59	1561.38	12.20	6144	0
256.0	24.60	2098.93	8.20	2904	0
512.0	14.53	2480.62	4.84	1536	0
1024.0	8.34	2845.18	2.78	726	0
2048.0	3.87	2639.42	1.29	384	0
4096.0	2.16	2952.36	0.72	150	0
8192.0	1.31	3578.74	0.44	96	0
16384.0	0.69	3747.40	0.23	24	0
32768.0	0.40	4409.05	0.13	24	0
65536.0	0.19	4170.82	0.06	6	0
131072.0	0.11	4657.36	0.04	6	0
