
./wesbench-instructional Setup parameters
Triangle area	128.000 (pixels^2)
Test duration	5.000000(s)
Screen W/H	(1024,1024)
Triangle limit	1073741824
VertexBuf limit	1073741824
Texture size	(8 x 8)
Lighting is 	enabled
ColorMaterial 	disabled
Triangle type	0 
Retained mode	disabled
Area	Mv/sec	MF/sec	MT/sec	Vs/buckt	Is/buckt
1.0	119.35	39.78	39.78	786264	0
2.0	117.96	78.64	39.32	393216	0
4.0	110.35	147.14	36.78	196566	0
8.0	103.75	276.67	34.58	98304	0
16.0	84.91	452.87	28.30	48600	0
32.0	63.47	676.96	21.16	24576	0
64.0	50.40	1075.16	16.80	12150	0
128.0	35.44	1511.99	11.81	6144	0
256.0	22.58	1926.51	7.53	2904	0
512.0	13.12	2239.39	4.37	1536	0
1024.0	7.29	2486.85	2.43	726	0
2048.0	3.77	2573.10	1.26	384	0
4096.0	1.96	2672.15	0.65	150	0
8192.0	1.01	2771.33	0.34	96	0
16384.0	0.50	2751.07	0.17	24	0
32768.0	0.26	2867.86	0.09	24	0
65536.0	0.13	2798.96	0.04	6	0
131072.0	0.07	2975.49	0.02	6	0
