
./wesbench-instructional Setup parameters
Triangle area	128.000 (pixels^2)
Test duration	5.000000(s)
Screen W/H	(1024,1024)
Triangle limit	1073741824
VertexBuf limit	1073741824
Texture size	(0 x 0)
Lighting is 	disabled
ColorMaterial 	disabled
Triangle type	1 
Retained mode	disabled
Area	Mv/sec	MF/sec	MT/sec	Vs/buckt	Is/buckt
1.0	116.90	116.90	116.90	263534	0
2.0	73.71	147.41	73.71	132094	0
4.0	65.26	261.05	65.26	66244	0
8.0	55.75	446.00	55.75	33278	0
16.0	42.15	674.37	42.15	16558	0
32.0	32.22	1030.79	32.21	8446	0
64.0	22.19	1419.18	22.17	4228	0
128.0	14.17	1811.83	14.15	2174	0
256.0	9.51	2430.49	9.49	1054	0
512.0	5.73	2921.73	5.71	574	0
1024.0	3.41	3464.29	3.38	284	0
2048.0	1.65	3338.65	1.63	158	0
4096.0	1.01	3999.35	0.98	68	0
8192.0	0.61	4752.15	0.58	46	0
16384.0	0.39	5524.25	0.34	14	0
32768.0	0.24	6602.73	0.20	14	0
65536.0	0.13	4159.10	0.06	4	0
131072.0	0.07	4664.07	0.04	4	0
