
./wesbench-instructional Setup parameters
Triangle area	128.000 (pixels^2)
Test duration	5.000000(s)
Screen W/H	(1024,1024)
Triangle limit	1073741824
VertexBuf limit	1073741824
Texture size	(0 x 0)
Lighting is 	disabled
ColorMaterial 	disabled
Triangle type	0 
Retained mode	disabled
Area	Mv/sec	MF/sec	MT/sec	Vs/buckt	Is/buckt
128.0	0.00	0.00	0.00	0	0
128.0	0.67	28.50	0.22	3	0
128.0	1.23	52.49	0.41	6	0
128.0	3.31	141.05	1.10	15	0
128.0	6.48	276.35	2.16	30	0
128.0	11.53	492.00	3.84	63	0
128.0	22.84	974.33	7.61	126	0
128.0	34.69	1479.97	11.56	255	0
128.0	37.86	1615.47	12.62	510	0
0.1	111.34	4.64	37.11	1023	0
0.1	141.61	5.90	47.20	2046	0
0.1	183.78	7.66	61.26	4095	0
0.1	174.54	7.27	58.18	8190	0
0.1	148.47	6.19	49.49	16383	0
0.1	169.94	7.08	56.65	32766	0
0.1	165.44	6.89	55.15	65535	0
0.1	151.07	6.29	50.36	131070	0
0.1	143.60	5.98	47.87	262143	0
0.1	159.07	6.63	53.02	524286	0
0.1	164.00	6.83	54.67	1048575	0
0.1	171.97	7.17	57.32	2097150	0
0.1	171.13	7.13	57.04	4194303	0
0.1	163.58	6.82	54.53	6291456	0
