
./wesbench-instructional Setup parameters
Triangle area	128.000 (pixels^2)
Test duration	5.000000(s)
Screen W/H	(1024,1024)
Triangle limit	1073741824
VertexBuf limit	1073741824
Texture size	(0 x 0)
Lighting is 	enabled
ColorMaterial 	disabled
Triangle type	0 
Retained mode	disabled
Area	Mv/sec	MF/sec	MT/sec	Vs/buckt	Is/buckt
1.0	175.97	58.66	58.66	786264	0
2.0	166.88	111.25	55.63	393216	0
4.0	154.58	206.11	51.53	196566	0
8.0	137.19	365.85	45.73	98304	0
16.0	99.78	532.14	33.26	48600	0
32.0	76.35	814.43	25.45	24576	0
64.0	57.49	1226.43	19.16	12150	0
128.0	36.62	1562.48	12.21	6144	0
256.0	24.46	2086.99	8.15	2904	0
512.0	14.49	2473.22	4.83	1536	0
1024.0	8.25	2815.25	2.75	726	0
2048.0	3.81	2603.67	1.27	384	0
4096.0	2.09	2847.54	0.70	150	0
8192.0	1.26	3449.81	0.42	96	0
16384.0	0.71	3860.73	0.24	24	0
32768.0	0.39	4266.39	0.13	24	0
65536.0	0.20	4322.10	0.07	6	0
131072.0	0.10	4495.77	0.03	6	0
