
./wesbench-instructional Setup parameters
Triangle area	128.000 (pixels^2)
Test duration	5.000000(s)
Screen W/H	(1024,1024)
Triangle limit	1073741824
VertexBuf limit	1073741824
Texture size	(8 x 8)
Lighting is 	disabled
ColorMaterial 	disabled
Triangle type	0 
Retained mode	disabled
Area	Mv/sec	MF/sec	MT/sec	Vs/buckt	Is/buckt
1.0	119.51	39.84	39.84	786264	0
2.0	115.76	77.18	38.59	393216	0
4.0	109.09	145.46	36.36	196566	0
8.0	101.61	270.95	33.87	98304	0
16.0	86.45	461.06	28.82	48600	0
32.0	63.70	679.42	21.23	24576	0
64.0	53.50	1141.41	17.83	12150	0
128.0	36.95	1576.64	12.32	6144	0
256.0	23.92	2041.49	7.97	2904	0
512.0	13.70	2337.75	4.57	1536	0
1024.0	7.48	2554.75	2.49	726	0
2048.0	3.80	2595.49	1.27	384	0
4096.0	2.00	2731.05	0.67	150	0
8192.0	1.06	2886.42	0.35	96	0
16384.0	0.51	2795.74	0.17	24	0
32768.0	0.28	3033.32	0.09	24	0
65536.0	0.12	2647.44	0.04	6	0
131072.0	0.07	3053.45	0.02	6	0
